"Theta [deg]","dB(GainLHCP) [] - Freq='0.159GHz' Phi='0deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='5deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='10deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='15deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='20deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='25deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='30deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='35deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='40deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='45deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='50deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='55deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='60deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='65deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='70deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='75deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='80deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='85deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='90deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='95deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='100deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='105deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='110deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='115deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='120deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='125deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='130deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='135deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='140deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='145deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='150deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='155deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='160deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='165deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='170deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='175deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='180deg'"
-180,-30.3645892346563,-30.3645892346565,-30.3645892346569,-30.3645892346574,-30.364589234658,-30.3645892346587,-30.3645892346595,-30.3645892346602,-30.3645892346612,-30.3645892346621,-30.3645892346629,-30.3645892346634,-30.3645892346633,-30.3645892346626,-30.3645892346612,-30.3645892346594,-30.3645892346575,-30.3645892346561,-30.3645892346554,-30.3645892346555,-30.3645892346564,-30.3645892346578,-30.3645892346593,-30.3645892346604,-30.3645892346608,-30.3645892346603,-30.3645892346593,-30.3645892346581,-30.3645892346569,-30.364589234656,-30.3645892346556,-30.3645892346555,-30.3645892346557,-30.3645892346559,-30.364589234656,-30.3645892346561,-30.3645892346563
-179,-30.3317738234494,-30.3272257761307,-30.3232525572407,-30.3199655278001,-30.3174604268068,-30.3158147077061,-30.315085381194,-30.3153074050076,-30.3164926483049,-30.3186294467725,-30.321682754507,-30.3255948894788,-30.3302868604139,-30.3356602535395,-30.3415996472569,-30.3479755110052,-30.3546475312165,-30.3614682925164,-30.368287226747,-30.3749547268994,-30.3813263088768,-30.3872666925988,-30.3926536668125,-30.3973816004777,-30.401364468814,-30.4045382746212,-30.4068627652722,-30.4083223721156,-30.4089263305009,-30.4087079733391,-30.4077232267023,-30.4060483700443,-30.4037771538937,-30.4010173924506,-30.397887166072,-30.3945107785162,-30.3910146160767
-178,-30.2922011815318,-30.2753221267804,-30.2603211490457,-30.2476118241336,-30.2375464387518,-30.2304085949121,-30.2264077378377,-30.2256754321888,-30.228263206299,-30.2341418106341,-30.243201787075,-30.2552553108003,-30.2700393365356,-30.2872201452847,-30.3063994358011,-30.3271221268126,-30.3488860224524,-30.3711534378084,-30.3933647810509,-30.4149539454768,-30.4353651877353,-30.4540709733148,-30.4705900795209,-30.4845050867304,-30.4954782886742,-30.5032650360617,-30.5077236099629,-30.5088209036017,-30.5066334595172,-30.5013437349001,-30.4932318125305,-30.4826630959563,-30.4700727872944,-30.4559481169909,-30.4408093644135,-30.4251906790736,-30.4096216004544
-177,-30.243809222546,-30.2073406013127,-30.1749116577863,-30.1473565852999,-30.1253664250999,-30.1094832452547,-30.1000980433706,-30.0974510757355,-30.1016334859166,-30.1125893637032,-30.1301176840537,-30.1538739337131,-30.183371611017,-30.2179841617437,-30.2569482660028,-30.2993696861752,-30.3442330832346,-30.3904172598598,-30.4367171417394,-30.4818734176994,-30.524610100179,-30.5636793552139,-30.5979118578987,-30.6262697941127,-30.6478986489814,-30.6621733200448,-30.6687340636863,-30.6675084320341,-30.6587166497529,-30.6428596290108,-30.6206907228767,-30.5931740286638,-30.5614332802556,-30.5266959423754,-30.4902370229291,-30.4533264691089,-30.4171830083028
-176,-30.183036477275,-30.1205385239495,-30.0652917470487,-30.0185574082471,-29.9813325082344,-29.9543624366689,-29.9381577189878,-29.9330113792611,-29.9390141275187,-29.95606530693,-29.9838782827937,-30.0219797276799,-30.0697030717122,-30.1261772590845,-30.1903128848837,-30.2607887596946,-30.3360429036916,-30.4142727903376,-30.4934501534277,-30.5713555771763,-30.6456371003583,-30.7138949097337,-30.7737907711324,-30.8231763774297,-30.8602299686426,-30.8835865299852,-30.8924449247909,-30.886636528965,-30.8666445760251,-30.8335706921487,-30.7890532689168,-30.7351493275179,-30.6741957438192,-30.6086664764238,-30.5410401759175,-30.4736883750636,-30.4087896800182
-175,-30.1051248394702,-30.0113060645063,-29.9291971244486,-29.8603500927505,-29.8059012951832,-29.7666277123474,-29.7430032486152,-29.7352491794812,-29.7433745356167,-29.7672033482214,-29.8063866786977,-29.8603983107044,-29.9285140109894,-30.0097754735287,-30.1029415498547,-30.2064312298422,-30.3182651343194,-30.4360149871126,-30.5567734281651,-30.6771590522537,-30.793372685234,-30.9013191557667,-30.9968025491142,-31.0757911214509,-31.1347314484335,-31.1708734675707,-31.182554954842,-31.1693923347816,-31.1323382602472,-31.0735927890183,-30.9963858873484,-30.9046738160462,-30.8028031464879,-30.6951924412282,-30.586067432423,-30.4792676358561,-30.3781265042774
-174,-30.0045451978776,-29.8756091399924,-29.7642252054293,-29.6719448497888,-29.5997481665844,-29.5481703637861,-29.5174163263327,-29.5074574759349,-29.5181068429573,-29.5490692129192,-29.599963822161,-29.6703176526326,-29.7595281100608,-29.866794906464,-29.9910224713694,-30.1306964474909,-30.2837411949512,-30.4473702633887,-30.6179489618241,-30.7908974270249,-30.960672654754,-31.1208752610604,-31.2645249001615,-31.3845291467051,-31.4743285862366,-31.5286398877473,-31.5441584543849,-31.5200547090968,-31.4581295252127,-31.3625830383898,-31.2394607132001,-31.0959209672337,-30.9394888766298,-30.7774249703527,-30.6162759435486,-30.4616158728068,-30.3179489743616
-173,-29.8755479783641,-29.7095105435612,-29.5682632010571,-29.4529263166016,-29.363930662007,-29.3012304776463,-29.2644853895409,-29.2532093802531,-29.2668852180431,-29.3050421335268,-29.3672938692078,-29.4533338934786,-29.5628846549858,-29.695598185552,-29.8509060919857,-30.0278182136087,-30.2246716856482,-30.4388373308469,-30.6664005743921,-30.9018523472579,-31.1378537256806,-31.3651740974737,-31.5729343387993,-31.7492867332715,-31.8825940182836,-31.9630069660673,-31.9841183770614,-31.9442102602387,-31.8466549493345,-31.6993158872163,-31.513171777866,-31.3006315998215,-31.0740034773731,-30.8443953609303,-30.6211089386085,-30.4114439579165,-30.2207780849872
-172,-29.712809329695,-29.5097181579817,-29.3398959753847,-29.2035120611836,-29.1000109422094,-29.0284087639412,-28.9875371291836,-28.9762407413474,-28.9935311565466,-29.0386951841542,-29.1113538490016,-29.2114665550659,-29.3392748591506,-29.4951803924017,-29.6795511726618,-29.8924493458786,-30.1332716389968,-30.4002934394109,-30.6901129637597,-30.9970117280095,-31.3122939001005,-31.6237530860026,-31.9155402663685,-32.1688267772085,-32.3636489320973,-32.4820086350236,-32.5116282316292,-32.4490425760984,-32.3006224211541,-32.0810112309365,-31.8097523820846,-31.5075751201763,-31.1935288537224,-30.8833979174183,-30.589220972571,-30.3195070396684,-30.0797761138016
-171,-29.512101825771,-29.2740861781739,-29.0787338836374,-28.9247301097616,-28.8101165100258,-28.7326439793965,-28.6900592873409,-28.6803414502,-28.7018928828502,-28.7536823161401,-28.8353317538572,-28.9471382499562,-29.0900220872388,-29.2653943284824,-29.4749365263075,-29.7202815640936,-30.0025759307797,-30.3218907750129,-30.6764359799548,-31.061529718971,-31.4683111906829,-31.8823045703823,-32.2822133190509,-32.6397691171839,-32.9218858002805,-33.0961543062222,-33.1390719542576,-33.0437054414442,-32.8223325890559,-32.5023010557355,-32.1178174508662,-31.7021595906799,-31.2829894307469,-30.8808404844064,-30.5095865386758,-30.1777137554754,-29.8896883336212
