"Theta [deg]","dB(GainLHCP) [] - Freq='0.159GHz' Phi='0deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='5deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='10deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='15deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='20deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='25deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='30deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='35deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='40deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='45deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='50deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='55deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='60deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='65deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='70deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='75deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='80deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='85deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='90deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='95deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='100deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='105deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='110deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='115deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='120deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='125deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='130deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='135deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='140deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='145deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='150deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='155deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='160deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='165deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='170deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='175deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='180deg'"
-180,-7.45100355544406,-7.45100355544406,-7.45100355544405,-7.45100355544406,-7.45100355544406,-7.45100355544406,-7.45100355544405,-7.45100355544405,-7.45100355544406,-7.45100355544406,-7.45100355544406,-7.45100355544406,-7.45100355544406,-7.45100355544405,-7.45100355544406,-7.45100355544406,-7.45100355544406,-7.45100355544406,-7.45100355544406,-7.45100355544407,-7.45100355544406,-7.45100355544406,-7.45100355544405,-7.45100355544406,-7.45100355544406,-7.45100355544406,-7.45100355544405,-7.45100355544406,-7.45100355544406,-7.45100355544406,-7.45100355544405,-7.45100355544406,-7.45100355544405,-7.45100355544405,-7.45100355544406,-7.45100355544406,-7.45100355544406
-179,-7.43289361075558,-7.43417245486249,-7.43567254126901,-7.43738450667064,-7.43929494319942,-7.44138652068314,-7.4436382095287,-7.44602559927255,-7.4485213052976,-7.4510954539081,-7.45371623392444,-7.45635050124738,-7.4589644214737,-7.46152413464679,-7.46399642561281,-7.46634938323985,-7.4685530319519,-7.47057991963428,-7.47240564698125,-7.47400932476721,-7.47537394731303,-7.47648667255672,-7.47733900158104,-7.4779268531449,-7.47825053164193,-7.47831458989062,-7.47812759115595,-7.47770177771844,-7.47705265604595,-7.47619851109031,-7.47515986433665,-7.47395889189917,-7.47261882012048,-7.47116331674547,-7.46961589578005,-7.46799935360475,-7.46633525280887
-178,-7.41234124117857,-7.41450156322024,-7.41731081152175,-7.42075457118908,-7.42480406593883,-7.42941653896373,-7.43453600154637,-7.44009432557552,-7.44601264853743,-7.45220305319542,-7.45857047895922,-7.46501481776223,-7.47143314397966,-7.47772202541903,-7.48377986062505,-7.48950918665126,-7.49481890112012,-7.49962634294545,-7.50385917770257,-7.50745703650708,-7.5103728616002,-7.51257391778981,-7.51404243653786,-7.51477586877941,-7.51478673334084,-7.5141020597946,-7.51276243732054,-7.51082069411276,-7.50834024449323,-7.50539315256215,-7.50205797136123,-7.49841742464868,-7.49455600409934,-7.49055755779394,-7.48650294614,-7.48246783890543,-7.47852072200523
-177,-7.38964547702227,-7.39231704018385,-7.39626719464065,-7.40147826300264,-7.40790199653376,-7.41546053128042,-7.42404810009339,-7.43353343153586,-7.44376275670435,-7.4545633387448,-7.46574743642985,-7.47711661153572,-7.48846628886528,-7.49959047667956,-7.51028655335257,-7.52036002295245,-7.52962913830913,-7.53792928554436,-7.54511702000866,-7.55107364137882,-7.55570819673664,-7.55895980611143,-7.56079921627342,-7.561229506076,-7.56028589030952,-7.55803459811536,-7.55457083514423,-7.5500158739372,-7.5445133522525,-7.53822489196776,-7.53132517963435,-7.52399667200771,-7.51642410471947,-7.50878898909607,-7.50126428097417,-7.49400939674834,-7.48716573675218
-176,-7.36506505453112,-7.36791528047732,-7.37287183503722,-7.37991240882496,-7.38896243216742,-7.39989715453019,-7.41254493428382,-7.42669158205273,-7.44208559728147,-7.45844414287827,-7.47545961394744,-7.49280667034153,-7.51014961556707,-7.52715001324513,-7.54347443432278,-7.55880222209617,-7.57283314777544,-7.58529480828716,-7.5959495932784,-7.60460102410177,-7.61109924889816,-7.6153454697679,-7.61729508471433,-7.61695935136492,-7.6144054221962,-7.60975466056531,-7.60317921950684,-7.59489694542322,-7.58516474985941,-7.5742706677373,-7.56252488369272,-7.55025005495078,-7.53777128685912,-7.52540612518989,-7.51345491888733,-7.50219188075829,-7.49185713520509
-175,-7.33881589215373,-7.34155933309173,-7.34743157065944,-7.35640063252349,-7.36835555856891,-7.38311041655101,-7.40040998933026,-7.4199368284673,-7.44131938603469,-7.46414097151711,-7.48794932736238,-7.51226666760797,-7.53660007085361,-7.56045215360526,-7.58333196573852,-7.60476604179987,-7.62430950860068,-7.64155709352148,-7.65615380576048,-7.66780498477902,-7.67628533934598,-7.68144655059428,-7.68322299573394,-7.68163517429656,-7.67679048941231,-7.6688811496633,-7.65817910328892,-7.64502808171515,-7.62983299654091,-7.61304708616103,-7.59515733061939,-7.57666873614542,-7.55808812985744,-7.53990810164063,-7.52259169014313,-7.50655834204671,-7.49217158824168
-174,-7.31106940503764,-7.31347613462008,-7.32022604469979,-7.33126845634488,-7.34644239694269,-7.36548364234909,-7.38803383975817,-7.41365117935099,-7.44182213827944,-7.47197390870042,-7.50348723199762,-7.53570948058367,-7.56796794094041,-7.59958333997926,-7.62988370557639,-7.65821864901035,-7.68397409592678,-7.70658737563353,-7.72556241776682,-7.74048462166442,-7.75103478529223,-7.75700133878725,-7.75829005228176,-7.75493040092978,-7.74707788194266,-7.73501178371622,-7.71912818529517,-7.69992828282604,-7.6780024592427,-7.65401079581902,-7.62866093842575,-7.60268435861751,-7.57681208555902,-7.55175093795173,-7.52816117389653,-7.50663632427003,-7.48768580501591
-173,-7.28195154611789,-7.28385444607034,-7.29150445665582,-7.30481895108729,-7.32356959745544,-7.34739378450025,-7.37580843324177,-7.40822534281543,-7.44396732990905,-7.48228458726954,-7.52237089404219,-7.56337953879161,-7.60443903812126,-7.64466891866076,-7.68319594599363,-7.71917120349217,-7.75178832984489,-7.7803030146302,-7.80405354407104,-7.82248182152244,-7.83515391369147,-7.84177885829184,-7.84222427510616,-7.83652730004754,-7.8248995352935,-7.80772506951422,-7.78555112844294,-7.75907149847383,-7.7291034421638,-7.69655931534264,-7.66241444073361,-7.62767296146939,-7.59333339059087,-7.56035541797059,-7.52962928025183,-7.50194869437326,-7.47798804824706
-172,-7.25154250005784,-7.25284341713207,-7.26148288838684,-7.27732889262666,-7.30006466242721,-7.32920608380821,-7.3641216453764,-7.40405366228488,-7.44813967776821,-7.49543321003501,-7.54492335118881,-7.59555311060093,-7.64623678648326,-7.69587699325664,-7.74338221013667,-7.7876857934593,-7.82776727191736,-7.86267640643419,-7.89155996611953,-7.91369050886692,-7.92849575579334,-7.93558653316238,-7.93478084777114,-7.92612156398106,-7.90988541659993,-7.88658171149085,-7.8569399532335,-7.82188665915899,-7.78251260858233,-7.74003258289315,-7.69574016798439,-7.65096037056133,-7.60700266520274,-7.56511671249405,-7.52645247102753,-7.49202587086231,-7.46269070802637
-171,-7.21987699860172,-7.22055174290205,-7.23034217866853,-7.24904541475065,-7.27623160789632,-7.31126910406527,-7.35335213613094,-7.40152927214488,-7.45473104931119,-7.51179560370394,-7.57149160832992,-7.63253843165164,-7.69362406604644,-7.75342196625064,-7.81060838122328,-7.86388195869707,-7.91198726934133,-7.95374339684886,-7.98807789005459,-8.01406526219321,-8.03096800895559,-8.03827701200018,-8.03574742617737,-8.02342591257404,-8.00166548544875,-7.97112527323164,-7.93275400000214,-7.88775771449149,-7.83755392275891,-7.78371554208438,-7.72790880616997,-7.6718293635629,-7.61714039525669,-7.56541579530655,-7.51809050849727,-7.47641918714686,-7.44144355216765
