"Theta [deg]","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='0deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='5deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='10deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='15deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='20deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='25deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='30deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='35deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='40deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='45deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='50deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='55deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='60deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='65deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='70deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='75deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='80deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='85deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='90deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='95deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='100deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='105deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='110deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='115deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='120deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='125deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='130deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='135deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='140deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='145deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='150deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='155deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='160deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='165deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='170deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='175deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='180deg'"
-180,-5.76129650058242,-5.76129650058242,-5.76129650058241,-5.76129650058241,-5.76129650058241,-5.76129650058242,-5.76129650058241,-5.76129650058241,-5.76129650058241,-5.76129650058241,-5.76129650058241,-5.76129650058241,-5.76129650058241,-5.76129650058241,-5.76129650058241,-5.76129650058241,-5.76129650058241,-5.76129650058241,-5.76129650058241,-5.76129650058242,-5.76129650058241,-5.76129650058241,-5.76129650058241,-5.76129650058241,-5.76129650058241,-5.76129650058241,-5.76129650058241,-5.76129650058241,-5.76129650058241,-5.76129650058242,-5.76129650058242,-5.76129650058241,-5.76129650058241,-5.76129650058241,-5.76129650058241,-5.76129650058242,-5.76129650058242
-179,-5.77125169685457,-5.7747697288563,-5.7782271898482,-5.7815915554835,-5.78483160151253,-5.78791781488835,-5.79082276916093,-5.79352145646786,-5.79599156957713,-5.79821372877861,-5.8001716499158,-5.80185225145177,-5.80324570012122,-5.8043453963801,-5.80514790247109,-5.80565281742387,-5.80586260465502,-5.80578237897932,-5.8054196607582,-5.80478410556297,-5.8038872181048,-5.80274205927223,-5.80136295492205,-5.79976521460486,-5.79796486769161,-5.79597842343077,-5.79382266034365,-5.79151444909618,-5.78907061161385,-5.78650781777821,-5.78384251960436,-5.78109092139666,-5.77826898305772,-5.7753924525251,-5.77247692226913,-5.76953790393509,-5.76659091458008
-178,-5.79650155924912,-5.80413378707665,-5.81160885459911,-5.81884480275489,-5.82576379301992,-5.83229341779964,-5.83836788256791,-5.84392902898519,-5.8489271726029,-5.85332173414932,-5.85708164961576,-5.86018555119346,-5.86262171828744,-5.86438780506332,-5.86549035797443,-5.86594414318471,-5.86577130949522,-5.86500041708298,-5.86366536591292,-5.8618042599809,-5.85945824454748,-5.85667035323908,-5.85348440039066,-5.84994395138483,-5.84609140014564,-5.84196717852811,-5.83760911727997,-5.83305197271773,-5.8283271274323,-5.82346246739382,-5.81848243192845,-5.81340822735178,-5.80825818971742,-5.80304827731727,-5.79779266938838,-5.79250444406144,-5.78719630603503
-177,-5.83719836395263,-5.84956123514312,-5.86163416730048,-5.87326825741232,-5.88432297888692,-5.89466893428527,-5.90419033674516,-5.91278714493034,-5.92037678590722,-5.92689541302135,-5.93229866115005,-5.93656187897992,-5.93967983637289,-5.94166592352416,-5.94255087653915,-5.94238108037846,-5.94121651407673,-5.93912841414469,-5.93619673973403,-5.93250752732264,-5.92815022340802,-5.92321508120458,-5.91779070198405,-5.91196179392442,-5.90580721162612,-5.89939832830065,-5.89279778048822,-5.88605861241881,-5.87922383413965,-5.87232639458056,-5.86538955806688,-5.85842766063986,-5.85144721112448,-5.84444829141942,-5.83742620121626,-5.83037328454947,-5.82328086951207
-176,-5.89360363944629,-5.91133699010302,-5.928609954019,-5.94518839555783,-5.96085218337808,-5.97540000513847,-5.98865372405922,-6.00046212749329,-6.01070393428052,-6.01928995183019,-6.02616430461199,-6.03130469143005,-6.03472166742911,-6.03645698587124,-6.03658107191482,-6.03518973370833,-6.03240024326525,-6.02834693955994,-6.02317651845214,-6.01704317841691,-6.01010378817809,-6.0025132331885,-5.99442008369561,-5.98596270919602,-5.977265943683,-5.96843838433286,-5.95957038402962,-5.95073277601385,-5.94197634733823,-5.93333205691117,-5.9248119737756,-5.9164108919251,-5.90810855945953,-5.89987244237703,-5.89166092708656,-5.88342685126273,-5.87512124056349
-175,-5.96609150913103,-5.98986199308115,-6.01296112683074,-6.03505025319131,-6.05581167914044,-6.07495627523468,-6.09223039362707,-6.10742183708118,-6.12036463671096,-6.13094243763864,-6.13909034748035,-6.14479516911101,-6.14809401186855,-6.14907134886672,-6.14785465695781,-6.14460883526601,-6.13952964435989,-6.13283643879719,-6.124764480308,-6.11555711814168,-6.10545810914534,-6.09470432581831,-6.08351906907998,-6.07210616689264,-6.06064500287426,-6.04928658265701,-6.03815071130757,-6.02732432322514,-6.01686097656677,-6.00678149697039,-5.99707572946773,-5.98770533227664,-5.97860752107582,-5.96969964715667,-5.96088446772972,-5.95205594235729,-5.94310536721034
-174,-6.05515346864374,-6.08565835195956,-6.11523609357086,-6.14342295120612,-6.16978442646977,-6.19392650836126,-6.21550598378721,-6.2342393686877,-6.2499100487873,-6.26237328593222,-6.27155884121642,-6.2774710828167,-6.28018657501284,-6.27984927406113,-6.27666357519598,-6.27088555335323,-6.26281281131115,-6.25277338939324,-6.24111420084161,-6.22818943976364,-6.21434936976339,-6.19992984776595,-6.18524287602988,-6.17056841205915,-6.15614760585156,-6.14217757976796,-6.12880781970475,-6.11613820712972,-6.10421868865719,-6.09305055118222,-6.08258924380747,-6.0727486605848,-6.06340676859926,-6.05441243304347,-6.0455932545672,-6.03676419539365,-6.02773673169665
-173,-6.16140477823782,-6.19937616009622,-6.23611385630895,-6.27100685665405,-6.30348301736277,-6.33302498840847,-6.35918493641515,-6.38159735202749,-6.39998927683541,-6.41418738931364,-6.42412154630382,-6.42982457342315,-6.4314283155614,-6.42915617529655,-6.4233125608982,-6.41426981857961,-6.40245332407203,-6.38832545224641,-6.37236913356207,-6.35507165165016,-6.33690925009435,-6.31833301245735,-6.29975637090976,-6.2815444960682,-6.2640057311318,-6.24738516089224,-6.23186035124772,-6.21753925545044,-6.20446025561469,-6.19259428710351,-6.18184897407107,-6.1720746817555,-6.16307236108403,-6.15460302117174,-6.14639861461023,-6.13817406046611,-6.12964006435169
-172,-6.28559271929856,-6.33180226433022,-6.37641308302934,-6.41864265808721,-6.45775837365196,-6.493099404099,-6.52409711596755,-6.55029288608189,-6.57135229610006,-6.58707482337656,-6.59739840137907,-6.60239854625512,-6.60228210394945,-6.59737602306861,-6.58811186250254,-6.57500696815742,-6.55864338195183,-6.53964557562861,-6.51865804292114,-6.49632365717142,-6.4732635335886,-6.45005895197287,-6.42723571913324,-6.4052511965302,-6.38448409716336,-6.36522706929317,-6.34768203091718,-6.33195819196416,-6.31807269258721,-6.30595378634966,-6.29544649709375,-6.28632066924182,-6.27828130610074,-6.27098104454405,-6.2640345452801,-6.25703448740209,-6.24956874970575
-171,-6.42860705036099,-6.48387134746343,-6.53710352906406,-6.5873227175073,-6.63361051708242,-6.67514045785804,-6.71120566691654,-6.74124311355628,-6.76485284262679,-6.78181085261474,-6.79207467848302,-6.79578126083628,-6.79323725750438,-6.78490250565456,-6.77136780148548,-6.75332847841895,-6.73155540872649,-6.70686503193759,-6.68008985462189,-6.65205061379739,-6.62353099862878,-6.59525552634699,-6.56787090235953,-6.54193098252552,-6.51788530637318,-6.49607108229231,-6.47670847086172,-6.4598990175208,-6.44562711577352,-6.43376442162695,-6.42407717430761,-6.41623639419729,-6.40983091525763,-6.4043831578291,-6.39936745454199,-6.39423060845112,-6.38841419619787
